"transport_id";"sq_id";"type_transport";"ID";"Name_id";"Name";"OnTerritoryOfMoscow";"AdmArea";"Longitude_WGS84";"Latitude_WGS84";"VestibuleType";"NameOfStation";"Line";"CulturalHeritageSiteStatus";"ModeOnEvenDays";"ModeOnOddDays";"LittleFunctionalBPAAmount";"BPAAmount";"ObjectStatus";"global_id";"coordinates";"type";"input_people_all";"output_people_all";"one";"count_exit";"input_people";"output_people";"district_id";"district";"adm_area_id";"adm_area"
"126";"2451";"Метро";"37";"Крылатское";"Крылатское, вход-выход 6 в восточный вестибюль";"да";"Западный административный округ";"37.40860100";"55.75537500";"подземный";"Крылатское";"Арбатско-Покровская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:42:00, по 2 пути в 05:56:00; последний поезд по 1 пути в 01:49:00, по 2 пути в 01:21:04";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:42:00, по 2 пути в 05:56:00; последний поезд по 1 пути в 01:49:00, по 2 пути в 01:21:04";"3";"4";"действует";"1773683";"37.40860100";"55.75537500";"2221765";"2189532";"1";"8";"277721";"273692";"73";"Крылатское";"2";"Западный"
"127";"2505";"Метро";"33";"Крылатское";"Крылатское, вход-выход 4 в западный вестибюль";"да";"Западный административный округ";"37.40858500";"55.75772400";"подземный";"Крылатское";"Арбатско-Покровская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:42:00, по 2 пути в 05:56:00; последний поезд по 1 пути в 01:49:00, по 2 пути в 01:21:05";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:42:00, по 2 пути в 05:56:00; последний поезд по 1 пути в 01:49:00, по 2 пути в 01:21:05";"1";"3";"действует";"1773684";"37.40858500";"55.75772400";"2221765";"2189532";"1";"8";"277721";"273692";"73";"Крылатское";"2";"Западный"
"128";"2505";"Метро";"31";"Крылатское";"Крылатское, вход-выход 1 в западный вестибюль";"да";"Западный административный округ";"37.40738000";"55.75742300";"подземный";"Крылатское";"Арбатско-Покровская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:42:00, по 2 пути в 05:56:00; последний поезд по 1 пути в 01:49:00, по 2 пути в 01:21:01";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:42:00, по 2 пути в 05:56:00; последний поезд по 1 пути в 01:49:00, по 2 пути в 01:21:01";"1";"3";"действует";"1773685";"37.40738000";"55.75742300";"2221765";"2189532";"1";"8";"277721";"273692";"73";"Крылатское";"2";"Западный"
"129";"2505";"Метро";"34";"Крылатское";"Крылатское, вход-выход 3 в западный вестибюль";"да";"Западный административный округ";"37.40854200";"55.75805700";"подземный";"Крылатское";"Арбатско-Покровская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:42:00, по 2 пути в 05:56:00; последний поезд по 1 пути в 01:49:00, по 2 пути в 01:21:07";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:42:00, по 2 пути в 05:56:00; последний поезд по 1 пути в 01:49:00, по 2 пути в 01:21:07";"1";"3";"действует";"1773686";"37.40854200";"55.75805700";"2221765";"2189532";"1";"8";"277721";"273692";"73";"Крылатское";"2";"Западный"
"130";"2451";"Метро";"38";"Крылатское";"Крылатское, вход-выход 9 в восточный вестибюль";"да";"Западный административный округ";"37.40889900";"55.75566300";"подземный";"Крылатское";"Арбатско-Покровская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:42:00, по 2 пути в 05:56:00; последний поезд по 1 пути в 01:49:00, по 2 пути в 01:21:06";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:42:00, по 2 пути в 05:56:00; последний поезд по 1 пути в 01:49:00, по 2 пути в 01:21:06";"3";"4";"действует";"1773687";"37.40889900";"55.75566300";"2221765";"2189532";"1";"8";"277721";"273692";"73";"Крылатское";"2";"Западный"
"131";"2451";"Метро";"35";"Крылатское";"Крылатское, вход-выход 7 в восточный вестибюль";"да";"Западный административный округ";"37.40768600";"55.75534200";"подземный";"Крылатское";"Арбатско-Покровская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:42:00, по 2 пути в 05:56:00; последний поезд по 1 пути в 01:49:00, по 2 пути в 01:21:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:42:00, по 2 пути в 05:56:00; последний поезд по 1 пути в 01:49:00, по 2 пути в 01:21:00";"3";"4";"действует";"1773688";"37.40768600";"55.75534200";"2221765";"2189532";"1";"8";"277721";"273692";"73";"Крылатское";"2";"Западный"
"132";"1080";"Метро";"288";"Новые Черёмушки";"Новые Черёмушки, вход-выход 6 в северный вестибюль";"да";"Юго-Западный административный округ";"37.55532100";"55.67123500";"подземный";"Новые Черёмушки";"Калужско-Рижская линия";"не является объектом культурного наследия";"открытие в 05:20:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:35:50, по 2 пути в 05:52:10; последний поезд по 1 пути в 01:18:15, по 2 пути в 01:45:10";"открытие в 05:20:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:35:50, по 2 пути в 05:52:10; последний поезд по 1 пути в 01:18:15, по 2 пути в 01:45:10";"3";"3";"действует";"1773689";"37.55532100";"55.67123500";"3277984";"3339157";"1";"8";"409748";"417395";"129";"Черёмушки";"11";"Юго-Западный"
"133";"2029";"Метро";"390";"Октябрьская";"Октябрьская, вход 1 в вестибюль кольцевой линии";"да";"Центральный административный округ";"37.61131100";"55.72934900";"наземный, встроенный в здание";"Октябрьская";"Кольцевая линия";"выявленный объект культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:55:15, по 2 пути в 05:41:50; последний поезд по 1 пути в 01:37:00, по 2 пути в 01:27:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:56:15, по 2 пути в 05:42:10; последний поезд по 1 пути в 01:37:00, по 2 пути в 01:27:00";"2";"2";"действует";"1773690";"37.61131100";"55.72934900";"972556";"1032738";"1";"4";"243139";"258185";"137";"Якиманка";"9";"Центральный"
"134";"2095";"Метро";"314";"Октябрьская";"Октябрьская, вход-выход 3 в вестибюль";"да";"Центральный административный округ";"37.61261330";"55.73131890";"наземный отдельностоящий";"Октябрьская";"Калужско-Рижская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:50:35, по 2 пути в 05:55:15; последний поезд по 1 пути в 01:30:45, по 2 пути в 01:32:50";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:50:55, по 2 пути в 05:56:00; последний поезд по 1 пути в 01:30:45, по 2 пути в 01:32:50";"2";"2";"действует";"1773691";"37.61261330";"55.73131890";"972556";"1032738";"1";"4";"243139";"258185";"137";"Якиманка";"9";"Центральный"
"135";"3053";"Метро";"803";"Октябрьское поле";"Октябрьское поле, вход-выход 1 во 2-й вестибюль";"да";"Северо-Западный административный округ";"37.49224460";"55.79398010";"подземный";"Октябрьское поле";"Таганско-Краснопресненская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:51:55, по 2 пути в 05:54:25; последний поезд по 1 пути в 01:16:10, по 2 пути в 01:49:36";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:51:55, по 2 пути в 05:54:25; последний поезд по 1 пути в 01:16:10, по 2 пути в 01:49:36";"4";"5";"действует";"1773692";"37.49224460";"55.79398010";"3399829";"3470650";"1";"8";"424979";"433831";"133";"Щукино";"7";"Северо-Западный"
